,JEREMY,,COLEMAN,,AUSTIN,,JARON,,ALEX,,SHEETS,,CAM,,RAY,,MATT,,KEVAN,,KYLE,,TIMMY,,
,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,Remaining Budget,#,
,"Miles Sanders
RB - PHI - 9",$16,"Josh Jacobs
RB - LV - 6",$31,"Kareem Hunt
RB - CLE - 9",$8,"Alvin Kamara
RB - NO - 6",$36,"Patrick Mahomes
QB - KC - 10",$28,"Derrick Henry
RB - TEN - 7",$22,"Matthew Stafford
QB - DET - 5",$8,"Kyler Murray
QB - ARI - 8",$23,"Kenny Golladay
WR - DET - 5",$16,"Darren Waller
TE - LV - 6",$7,"Michael Gallup
WR - DAL - 10",$8,"D.K. Metcalf
WR - SEA - 6",$6,1
,"Tyreek Hill
WR - KC - 10",$35,"Dak Prescott
QB - DAL - 10",$35,"Austin Hooper
TE - CLE - 9",$2,"Michael Thomas
WR - NO - 6",$48,"Russell Wilson
QB - SEA - 6",$26,"Ezekiel Elliott
RB - DAL - 10",$56,"Saquon Barkley
RB - NYG - 11",$56,"Christian McCaffrey
RB - CAR - 13",$63,"Julio Jones
WR - ATL - 10",$37,"Lamar Jackson
QB - BAL - 8",$45,"Matt Ryan
QB - ATL - 10",$21,"Joe Mixon
RB - CIN - 9",$36,2
,"Austin Ekeler
RB - LAC - 10",$29,"Nick Chubb
RB - CLE - 9",$30,"Latavius Murray
RB - NO - 6",$6,"DeAndre Hopkins
WR - ARI - 8",$38,"A.J. Brown
WR - TEN - 7",$19,"Travis Kelce
TE - KC - 10",$30,"Aaron Jones
RB - GB - 5",$32,"Terry McLaurin
WR - WAS - 8",$17,"Dalvin Cook
RB - MIN - 7",$48,"Leonard Fournette
RB - FA - ",$15,"Chris Carson
RB - SEA - 6",$25,"Carson Wentz
QB - PHI - 9",$18,3
,"Kenyan Drake
RB - ARI - 8",$37,"Drew Brees
QB - NO - 6",$18,"Deshaun Watson
QB - HOU - 8",$36,"Josh Allen
QB - BUF - 11",$20,"Todd Gurley
RB - ATL - 10",$22,"Aaron Rodgers
QB - GB - 5",$13,"Chris Godwin
WR - TB - 13",$33,"Calvin Ridley
WR - ATL - 10",$21,"Raheem Mostert
RB - SF - 11",$16,"James White
RB - NE - 6",$7,"Cam Newton
QB - NE - 6",$16,"Clyde Edwards-Helaire
RB - KC - 10",$46,4
,"Davante Adams
WR - GB - 5",$41,"Amari Cooper
WR - DAL - 10",$21,"Odell Beckham Jr.
WR - CLE - 9",$22,"David Johnson
RB - HOU - 8",$25,"D'Andre Swift
RB - DET - 5",$13,"Mark Andrews
TE - BAL - 8",$13,"JuJu Smith-Schuster
WR - PIT - 8",$27,"George Kittle
TE - SF - 11",$21,"Ben Roethlisberger
QB - PIT - 8",$7,"Mike Evans
WR - TB - 13",$32,"Le'Veon Bell
RB - NYJ - 11",$18,"Cam Akers
RB - LAR - 9",$17,5
,"Robert Woods
WR - LAR - 9",$22,"Julian Edelman
WR - NE - 6",$11,"Tom Brady
QB - TB - 13",$20,"Hayden Hurst
TE - ATL - 10",$4,"D.J. Moore
WR - CAR - 13",$29,"Keenan Allen
WR - LAC - 10",$17,"Gardner Minshew II
QB - JAC - 7",$2,"Adam Thielen
WR - MIN - 7",$27,"Tyler Lockett
WR - SEA - 6",$19,"Kirk Cousins
QB - MIN - 7",$10,"James Conner
RB - PIT - 8",$24,"Allen Robinson
WR - CHI - 11",$27,6
,"Jared Goff
QB - LAR - 9",$9,"Melvin Gordon
RB - DEN - 8",$21,"Cooper Kupp
WR - LAR - 9",$24,"Marvin Jones
WR - DET - 5",$3,"T.Y. Hilton
WR - IND - 7",$19,"Mark Ingram II
RB - BAL - 8",$13,"Kerryon Johnson
RB - DET - 5",$4,"Jimmy Garoppolo
QB - SF - 11",$9,"Minnesota (MIN)
DST - DST - 7",$1,"Devin Singletary
RB - BUF - 11",$14,"Stefon Diggs
WR - BUF - 11",$13,"Bryan Edwards
WR - LV - 6",$2,7
,"Chase Edmonds
RB - ARI - 8",$2,"Rob Gronkowski
TE - TB - 13",$5,"Tyler Higbee
TE - LAR - 9",$7,"Jerry Jeudy
WR - DEN - 8",$3,"Hunter Henry
TE - LAC - 10",$3,"Joe Burrow
QB - CIN - 9",$5,"Chris Herndon IV
TE - NYJ - 11",$1,"Parris Campbell
WR - IND - 7",$2,"Jonathan Taylor
RB - IND - 7",$20,"Brandin Cooks
WR - HOU - 8",$14,"Evan Engram
TE - NYG - 11",$8,"Noah Fant
TE - DEN - 8",$3,8
